,objective_name,solver_name,data_name,idx_rep,stop_val,time,objective_value,objective_duality_gap,env-OMP_NUM_THREADS,platform,platform-architecture,platform-release,platform-version,system-cpus,system-processor,system-ram (GB),version-cuda,version-numpy,version-scipy
13,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",admm,breheny[dataset=Rhee2006],0,141,0.04103249999752734,1.2883071058062816,0.0018604349871691461,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
14,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",admm,breheny[dataset=Rhee2006],0,211,0.057795000000623986,1.286633560962657,0.00018352581652325561,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
15,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",admm,breheny[dataset=Rhee2006],0,316,0.08223570800328162,1.2864562356558182,6.171798529575057e-06,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
16,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",admm,breheny[dataset=Rhee2006],0,474,0.12018766599067021,1.2864501033058329,3.9625301484491615e-08,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
17,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",admm,breheny[dataset=Rhee2006],0,711,0.1777641670050798,1.286450063699652,2.0953905277565354e-11,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
18,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",admm,breheny[dataset=Rhee2006],0,1066,0.1996003340027528,1.2864500636795753,8.748557434046234e-13,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
19,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",admm,breheny[dataset=Rhee2006],0,1599,0.2069172919873381,1.2864500636795753,8.748557434046234e-13,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
20,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",admm,breheny[dataset=Rhee2006],0,2878,0.19942220799566712,1.2864500636795753,8.748557434046234e-13,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
21,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",admm,breheny[dataset=Rhee2006],0,6216,0.2021795420005219,1.2864500636795753,8.748557434046234e-13,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
22,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",admm,breheny[dataset=Rhee2006],0,16111,0.20038258300337475,1.2864500636795753,8.748557434046234e-13,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
