Method,1,2,3
ADMM,592.7728602830321,731.8781759031117,649.2735341154039
Anderson (PGD),539.0812106039375,36.09616357833147,450.5476215593517
FISTA,588.9861546009779,67.18643584474921,278.59834749624133
hybrid (ours),53.96949573606253,83.2501414604485,49.272515781223774
