Method,Rhee2006,bcTCGA,news20,rcv1
ADMM,47.33049834892154,9251.671662946232,139415.05787211843,6852.486591921188
Anderson (PGD),30.41076646745205,9866.893697595224,29867.059319827706,591.8289029169828
FISTA,334.65914600808173,12681.764581110328,138363.29249009956,1987.5181798171247
hybrid (ours),14.318366194143891,379.0694751944393,11574.055887808092,391.2645159205422
